NAME,CPU %,MEM USAGE / LIMIT / MEM %,NET I/O,BLOCK I/O,STATUS,Date/Time
postgres,0.00%,138.7MiB / 1.946GiB / 6.96%,88.5MB / 103MB,104MB / 1.87GB,Up,2023-10-19 06:56:36.515448
ipsec-vpn-server,0.00%,10.79MiB / 1.946GiB / 0.54%,1.38GB / 1.44GB,19.3MB / 143kB,Up,2023-10-19 06:56:36.515448
platform-nginx-1,0.02%,112.1MiB / 1.946GiB / 5.62%,172MB / 143MB,110MB / 59.3MB,Up,2023-10-19 06:58:29.251839
odoo,0.02%,239.6MiB / 1.946GiB / 12.02%,115MB / 225MB,158MB / 520kB,Up,2023-10-19 06:58:29.251839
platform-pgadmin-1,0.04%,115.4MiB / 1.946GiB / 5.79%,63.1kB / 579kB,11.6MB / 12.4MB,Up,2023-10-19 06:58:29.251839
platform-dps-1,0.01%,38.03MiB / 1.946GiB / 1.91%,1.2MB / 1.2MB,34.6MB / 77.1MB,Up,2023-10-19 06:58:29.251839
postgres,0.00%,138.7MiB / 1.946GiB / 6.96%,88.5MB / 103MB,104MB / 1.88GB,Up,2023-10-19 06:58:29.251839
ipsec-vpn-server,0.00%,11.12MiB / 1.946GiB / 0.56%,1.38GB / 1.44GB,19.3MB / 143kB,Up,2023-10-19 06:58:29.251839
platform-nginx-1,0.03%,112.1MiB / 1.946GiB / 5.62%,172MB / 143MB,110MB / 59.3MB,Up,2023-10-19 06:59:24.718008
odoo,0.02%,239.6MiB / 1.946GiB / 12.02%,115MB / 225MB,158MB / 520kB,Up,2023-10-19 06:59:24.718008
platform-pgadmin-1,0.04%,115.4MiB / 1.946GiB / 5.79%,63.1kB / 579kB,11.6MB / 12.4MB,Up,2023-10-19 06:59:24.718008
platform-dps-1,0.01%,38.03MiB / 1.946GiB / 1.91%,1.2MB / 1.2MB,34.6MB / 77.1MB,Up,2023-10-19 06:59:24.718008
postgres,0.02%,138.7MiB / 1.946GiB / 6.96%,88.5MB / 103MB,104MB / 1.88GB,Up,2023-10-19 06:59:24.718008
ipsec-vpn-server,0.00%,11.14MiB / 1.946GiB / 0.56%,1.38GB / 1.44GB,19.3MB / 143kB,Up,2023-10-19 06:59:24.718008
platform-nginx-1,0.02%,111.3MiB / 1.946GiB / 5.58%,172MB / 143MB,110MB / 59.3MB,Up,2023-10-19 07:06:05.408412
odoo,0.02%,239.6MiB / 1.946GiB / 12.02%,115MB / 225MB,158MB / 520kB,Up,2023-10-19 07:06:05.408412
platform-pgadmin-1,0.03%,115.4MiB / 1.946GiB / 5.79%,63.1kB / 579kB,11.6MB / 12.4MB,Up,2023-10-19 07:06:05.408412
platform-dps-1,0.01%,38.03MiB / 1.946GiB / 1.91%,1.2MB / 1.2MB,34.6MB / 77.2MB,Up,2023-10-19 07:06:05.408412
postgres,0.01%,138.7MiB / 1.946GiB / 6.96%,88.5MB / 103MB,104MB / 1.88GB,Up,2023-10-19 07:06:05.408412
ipsec-vpn-server,0.00%,11.44MiB / 1.946GiB / 0.57%,1.38GB / 1.44GB,19.3MB / 143kB,Up,2023-10-19 07:06:05.408412
platform-nginx-1,0.02%,111.3MiB / 1.946GiB / 5.59%,172MB / 143MB,110MB / 59.3MB,Up,2023-10-19 07:06:36.515569
odoo,0.02%,239.6MiB / 1.946GiB / 12.02%,115MB / 225MB,158MB / 520kB,Up,2023-10-19 07:06:36.515569
platform-pgadmin-1,0.03%,115.4MiB / 1.946GiB / 5.79%,63.1kB / 579kB,11.6MB / 12.4MB,Up,2023-10-19 07:06:36.515569
platform-dps-1,0.01%,38.03MiB / 1.946GiB / 1.91%,1.2MB / 1.2MB,34.6MB / 77.2MB,Up,2023-10-19 07:06:36.515569
postgres,0.00%,138.7MiB / 1.946GiB / 6.96%,88.5MB / 103MB,104MB / 1.88GB,Up,2023-10-19 07:06:36.515569
ipsec-vpn-server,0.00%,10.81MiB / 1.946GiB / 0.54%,1.38GB / 1.44GB,19.3MB / 143kB,Up,2023-10-19 07:06:36.515569
platform-nginx-1,0.02%,111.4MiB / 1.946GiB / 5.59%,172MB / 143MB,110MB / 59.3MB,Up,2023-10-19 07:08:29.252183
odoo,0.02%,239.6MiB / 1.946GiB / 12.02%,115MB / 225MB,158MB / 520kB,Up,2023-10-19 07:08:29.252183
platform-pgadmin-1,0.05%,115.4MiB / 1.946GiB / 5.79%,63.1kB / 579kB,11.6MB / 12.4MB,Up,2023-10-19 07:08:29.252183
platform-dps-1,0.01%,38.03MiB / 1.946GiB / 1.91%,1.2MB / 1.2MB,34.6MB / 77.2MB,Up,2023-10-19 07:08:29.252183
postgres,0.00%,138.7MiB / 1.946GiB / 6.96%,88.5MB / 103MB,104MB / 1.88GB,Up,2023-10-19 07:08:29.252183
ipsec-vpn-server,0.00%,11.14MiB / 1.946GiB / 0.56%,1.38GB / 1.44GB,19.3MB / 143kB,Up,2023-10-19 07:08:29.252183
platform-nginx-1,0.02%,111.4MiB / 1.946GiB / 5.59%,172MB / 143MB,110MB / 59.3MB,Up,2023-10-19 07:09:24.718296
odoo,0.02%,239.6MiB / 1.946GiB / 12.02%,115MB / 225MB,158MB / 520kB,Up,2023-10-19 07:09:24.718296
platform-pgadmin-1,0.03%,115.4MiB / 1.946GiB / 5.79%,63.1kB / 579kB,11.6MB / 12.4MB,Up,2023-10-19 07:09:24.718296
platform-dps-1,0.01%,38.03MiB / 1.946GiB / 1.91%,1.2MB / 1.2MB,34.6MB / 77.2MB,Up,2023-10-19 07:09:24.718296
postgres,0.00%,138.7MiB / 1.946GiB / 6.96%,88.5MB / 103MB,104MB / 1.88GB,Up,2023-10-19 07:09:24.718296
ipsec-vpn-server,0.00%,11.12MiB / 1.946GiB / 0.56%,1.38GB / 1.44GB,19.3MB / 143kB,Up,2023-10-19 07:09:24.718296
platform-nginx-1,0.02%,111.6MiB / 1.946GiB / 5.60%,172MB / 143MB,110MB / 59.3MB,Up,2023-10-19 07:16:05.408138
odoo,0.02%,239.6MiB / 1.946GiB / 12.02%,115MB / 225MB,158MB / 520kB,Up,2023-10-19 07:16:05.408138
platform-pgadmin-1,0.04%,115.4MiB / 1.946GiB / 5.79%,63.1kB / 579kB,11.6MB / 12.4MB,Up,2023-10-19 07:16:05.408138
platform-dps-1,0.01%,38.03MiB / 1.946GiB / 1.91%,1.2MB / 1.2MB,34.6MB / 77.3MB,Up,2023-10-19 07:16:05.408138
postgres,0.01%,138.7MiB / 1.946GiB / 6.96%,88.6MB / 103MB,104MB / 1.88GB,Up,2023-10-19 07:16:05.408138
ipsec-vpn-server,0.00%,11.47MiB / 1.946GiB / 0.58%,1.38GB / 1.44GB,19.3MB / 143kB,Up,2023-10-19 07:16:05.408138
platform-nginx-1,0.03%,111.6MiB / 1.946GiB / 5.60%,172MB / 143MB,110MB / 59.3MB,Up,2023-10-19 07:16:36.515726
odoo,0.02%,239.6MiB / 1.946GiB / 12.02%,115MB / 225MB,158MB / 520kB,Up,2023-10-19 07:16:36.515726
platform-pgadmin-1,0.04%,115.4MiB / 1.946GiB / 5.79%,63.1kB / 579kB,11.6MB / 12.4MB,Up,2023-10-19 07:16:36.515726
platform-dps-1,0.01%,38.03MiB / 1.946GiB / 1.91%,1.2MB / 1.2MB,34.6MB / 77.3MB,Up,2023-10-19 07:16:36.515726
postgres,0.02%,138.7MiB / 1.946GiB / 6.96%,88.6MB / 103MB,104MB / 1.88GB,Up,2023-10-19 07:16:36.515726
ipsec-vpn-server,0.00%,10.82MiB / 1.946GiB / 0.54%,1.38GB / 1.44GB,19.3MB / 143kB,Up,2023-10-19 07:16:36.515726
platform-nginx-1,0.02%,111.6MiB / 1.946GiB / 5.60%,172MB / 143MB,110MB / 59.3MB,Up,2023-10-19 07:18:29.252278
odoo,0.02%,239.6MiB / 1.946GiB / 12.02%,115MB / 225MB,158MB / 520kB,Up,2023-10-19 07:18:29.252278
platform-pgadmin-1,0.04%,115.4MiB / 1.946GiB / 5.79%,63.1kB / 579kB,11.6MB / 12.4MB,Up,2023-10-19 07:18:29.252278
platform-dps-1,0.01%,38.03MiB / 1.946GiB / 1.91%,1.2MB / 1.2MB,34.6MB / 77.4MB,Up,2023-10-19 07:18:29.252278
postgres,0.00%,138.7MiB / 1.946GiB / 6.96%,88.6MB / 103MB,104MB / 1.88GB,Up,2023-10-19 07:18:29.252278
ipsec-vpn-server,0.00%,11.17MiB / 1.946GiB / 0.56%,1.38GB / 1.44GB,19.3MB / 143kB,Up,2023-10-19 07:18:29.252278
platform-nginx-1,0.02%,111.7MiB / 1.946GiB / 5.60%,172MB / 143MB,110MB / 59.3MB,Up,2023-10-19 07:19:24.718153
odoo,0.02%,239.6MiB / 1.946GiB / 12.02%,115MB / 225MB,158MB / 520kB,Up,2023-10-19 07:19:24.718153
platform-pgadmin-1,0.04%,115.4MiB / 1.946GiB / 5.79%,63.1kB / 579kB,11.6MB / 12.4MB,Up,2023-10-19 07:19:24.718153
platform-dps-1,0.22%,38.03MiB / 1.946GiB / 1.91%,1.2MB / 1.2MB,34.6MB / 77.4MB,Up,2023-10-19 07:19:24.718153
postgres,0.00%,138.7MiB / 1.946GiB / 6.96%,88.6MB / 103MB,104MB / 1.88GB,Up,2023-10-19 07:19:24.718153
ipsec-vpn-server,0.00%,11.14MiB / 1.946GiB / 0.56%,1.38GB / 1.44GB,19.3MB / 143kB,Up,2023-10-19 07:19:24.718153
platform-nginx-1,0.05%,111.9MiB / 1.946GiB / 5.61%,172MB / 143MB,110MB / 59.3MB,Up,2023-10-19 07:26:05.408143
odoo,0.02%,239.6MiB / 1.946GiB / 12.02%,115MB / 225MB,158MB / 520kB,Up,2023-10-19 07:26:05.408143
platform-pgadmin-1,0.05%,116.1MiB / 1.946GiB / 5.83%,63.2kB / 579kB,11.6MB / 12.4MB,Up,2023-10-19 07:26:05.408143
platform-dps-1,0.01%,38.04MiB / 1.946GiB / 1.91%,1.2MB / 1.2MB,34.7MB / 77.4MB,Up,2023-10-19 07:26:05.408143
postgres,0.01%,138.7MiB / 1.946GiB / 6.96%,88.7MB / 103MB,104MB / 1.88GB,Up,2023-10-19 07:26:05.408143
ipsec-vpn-server,0.00%,11.48MiB / 1.946GiB / 0.58%,1.38GB / 1.44GB,19.3MB / 143kB,Up,2023-10-19 07:26:05.408143
platform-nginx-1,0.02%,111.9MiB / 1.946GiB / 5.61%,172MB / 143MB,110MB / 59.3MB,Up,2023-10-19 07:26:36.515483
odoo,0.02%,239.6MiB / 1.946GiB / 12.02%,115MB / 225MB,158MB / 520kB,Up,2023-10-19 07:26:36.515483
platform-pgadmin-1,0.04%,116.1MiB / 1.946GiB / 5.83%,63.2kB / 579kB,11.6MB / 12.4MB,Up,2023-10-19 07:26:36.515483
platform-dps-1,0.02%,38.04MiB / 1.946GiB / 1.91%,1.2MB / 1.2MB,34.7MB / 77.5MB,Up,2023-10-19 07:26:36.515483
postgres,0.00%,138.7MiB / 1.946GiB / 6.96%,88.7MB / 103MB,104MB / 1.88GB,Up,2023-10-19 07:26:36.515483
ipsec-vpn-server,0.00%,10.82MiB / 1.946GiB / 0.54%,1.38GB / 1.44GB,19.3MB / 143kB,Up,2023-10-19 07:26:36.515483
platform-nginx-1,0.02%,111.9MiB / 1.946GiB / 5.62%,172MB / 143MB,110MB / 59.3MB,Up,2023-10-19 07:28:29.252425
odoo,0.02%,239.6MiB / 1.946GiB / 12.02%,115MB / 225MB,158MB / 520kB,Up,2023-10-19 07:28:29.252425
platform-pgadmin-1,0.04%,116.5MiB / 1.946GiB / 5.84%,63.2kB / 579kB,11.6MB / 12.4MB,Up,2023-10-19 07:28:29.252425
platform-dps-1,0.01%,38.04MiB / 1.946GiB / 1.91%,1.2MB / 1.2MB,34.7MB / 77.5MB,Up,2023-10-19 07:28:29.252425
postgres,0.01%,138.7MiB / 1.946GiB / 6.96%,88.7MB / 103MB,104MB / 1.88GB,Up,2023-10-19 07:28:29.252425
ipsec-vpn-server,0.00%,11.19MiB / 1.946GiB / 0.56%,1.38GB / 1.44GB,19.3MB / 143kB,Up,2023-10-19 07:28:29.252425
platform-nginx-1,0.02%,111.9MiB / 1.946GiB / 5.62%,172MB / 143MB,110MB / 59.3MB,Up,2023-10-19 07:29:24.718432
odoo,0.02%,239.6MiB / 1.946GiB / 12.02%,115MB / 225MB,158MB / 520kB,Up,2023-10-19 07:29:24.718432
platform-pgadmin-1,0.05%,116.5MiB / 1.946GiB / 5.84%,63.2kB / 579kB,11.6MB / 12.4MB,Up,2023-10-19 07:29:24.718432
platform-dps-1,0.36%,38.04MiB / 1.946GiB / 1.91%,1.2MB / 1.2MB,34.7MB / 77.5MB,Up,2023-10-19 07:29:24.718432
postgres,0.00%,138.7MiB / 1.946GiB / 6.96%,88.7MB / 103MB,104MB / 1.88GB,Up,2023-10-19 07:29:24.718432
ipsec-vpn-server,0.00%,11.21MiB / 1.946GiB / 0.56%,1.38GB / 1.44GB,19.3MB / 143kB,Up,2023-10-19 07:29:24.718432
platform-nginx-1,0.02%,111.5MiB / 1.946GiB / 5.60%,172MB / 143MB,110MB / 59.3MB,Up,2023-10-19 07:36:05.407651
odoo,0.02%,239.6MiB / 1.946GiB / 12.02%,115MB / 225MB,158MB / 520kB,Up,2023-10-19 07:36:05.407651
platform-pgadmin-1,0.04%,116.5MiB / 1.946GiB / 5.84%,63.2kB / 579kB,11.6MB / 12.4MB,Up,2023-10-19 07:36:05.407651
platform-dps-1,0.01%,38.04MiB / 1.946GiB / 1.91%,1.2MB / 1.2MB,34.7MB / 77.6MB,Up,2023-10-19 07:36:05.407651
postgres,0.00%,138.7MiB / 1.946GiB / 6.96%,88.7MB / 103MB,104MB / 1.89GB,Up,2023-10-19 07:36:05.407651
ipsec-vpn-server,0.00%,11.48MiB / 1.946GiB / 0.58%,1.38GB / 1.44GB,19.3MB / 143kB,Up,2023-10-19 07:36:05.407651
platform-nginx-1,0.02%,111.5MiB / 1.946GiB / 5.60%,172MB / 143MB,110MB / 59.3MB,Up,2023-10-19 07:36:36.515323
odoo,0.02%,239.6MiB / 1.946GiB / 12.02%,115MB / 225MB,158MB / 520kB,Up,2023-10-19 07:36:36.515323
platform-pgadmin-1,0.04%,116.5MiB / 1.946GiB / 5.84%,63.2kB / 579kB,11.6MB / 12.4MB,Up,2023-10-19 07:36:36.515323
platform-dps-1,0.01%,38.04MiB / 1.946GiB / 1.91%,1.2MB / 1.2MB,34.7MB / 77.6MB,Up,2023-10-19 07:36:36.515323
postgres,0.00%,138.7MiB / 1.946GiB / 6.96%,88.7MB / 103MB,104MB / 1.89GB,Up,2023-10-19 07:36:36.515323
ipsec-vpn-server,0.00%,10.82MiB / 1.946GiB / 0.54%,1.38GB / 1.44GB,19.3MB / 143kB,Up,2023-10-19 07:36:36.515323
platform-nginx-1,0.02%,111.6MiB / 1.946GiB / 5.60%,172MB / 143MB,110MB / 59.3MB,Up,2023-10-19 07:38:29.252242
odoo,0.02%,239.6MiB / 1.946GiB / 12.02%,115MB / 225MB,158MB / 520kB,Up,2023-10-19 07:38:29.252242
platform-pgadmin-1,0.04%,116.5MiB / 1.946GiB / 5.84%,63.2kB / 579kB,11.6MB / 12.4MB,Up,2023-10-19 07:38:29.252242
platform-dps-1,0.01%,38.04MiB / 1.946GiB / 1.91%,1.2MB / 1.2MB,34.7MB / 77.6MB,Up,2023-10-19 07:38:29.252242
postgres,0.00%,138.7MiB / 1.946GiB / 6.96%,88.7MB / 103MB,104MB / 1.89GB,Up,2023-10-19 07:38:29.252242
ipsec-vpn-server,0.00%,11.16MiB / 1.946GiB / 0.56%,1.38GB / 1.44GB,19.3MB / 143kB,Up,2023-10-19 07:38:29.252242
platform-nginx-1,0.02%,111.6MiB / 1.946GiB / 5.60%,172MB / 143MB,110MB / 59.3MB,Up,2023-10-19 07:39:24.718780
odoo,0.02%,239.6MiB / 1.946GiB / 12.02%,115MB / 225MB,158MB / 520kB,Up,2023-10-19 07:39:24.718780
platform-pgadmin-1,0.04%,116.5MiB / 1.946GiB / 5.84%,63.2kB / 579kB,11.6MB / 12.4MB,Up,2023-10-19 07:39:24.718780
platform-dps-1,0.24%,38.04MiB / 1.946GiB / 1.91%,1.2MB / 1.2MB,34.7MB / 77.6MB,Up,2023-10-19 07:39:24.718780
postgres,0.01%,138.7MiB / 1.946GiB / 6.96%,88.7MB / 103MB,104MB / 1.89GB,Up,2023-10-19 07:39:24.718780
ipsec-vpn-server,0.00%,11.17MiB / 1.946GiB / 0.56%,1.38GB / 1.44GB,19.3MB / 143kB,Up,2023-10-19 07:39:24.718780
platform-nginx-1,0.02%,111.8MiB / 1.946GiB / 5.61%,172MB / 143MB,110MB / 59.3MB,Up,2023-10-19 07:46:05.407792
odoo,0.02%,239.6MiB / 1.946GiB / 12.02%,115MB / 225MB,158MB / 520kB,Up,2023-10-19 07:46:05.407792
platform-pgadmin-1,0.04%,116.5MiB / 1.946GiB / 5.84%,63.2kB / 579kB,11.6MB / 12.4MB,Up,2023-10-19 07:46:05.407792
platform-dps-1,0.01%,38.04MiB / 1.946GiB / 1.91%,1.2MB / 1.2MB,34.7MB / 77.7MB,Up,2023-10-19 07:46:05.407792
postgres,0.00%,138.7MiB / 1.946GiB / 6.96%,88.8MB / 103MB,104MB / 1.89GB,Up,2023-10-19 07:46:05.407792
ipsec-vpn-server,0.00%,11.5MiB / 1.946GiB / 0.58%,1.38GB / 1.44GB,19.3MB / 143kB,Up,2023-10-19 07:46:05.407792
platform-nginx-1,0.02%,111.8MiB / 1.946GiB / 5.61%,172MB / 143MB,110MB / 59.3MB,Up,2023-10-19 07:46:36.515342
odoo,0.03%,239.6MiB / 1.946GiB / 12.02%,115MB / 225MB,158MB / 520kB,Up,2023-10-19 07:46:36.515342
platform-pgadmin-1,0.04%,116.5MiB / 1.946GiB / 5.84%,63.2kB / 579kB,11.6MB / 12.4MB,Up,2023-10-19 07:46:36.515342
platform-dps-1,0.02%,38.04MiB / 1.946GiB / 1.91%,1.2MB / 1.2MB,34.7MB / 77.7MB,Up,2023-10-19 07:46:36.515342
postgres,0.00%,138.7MiB / 1.946GiB / 6.96%,88.8MB / 103MB,104MB / 1.89GB,Up,2023-10-19 07:46:36.515342
ipsec-vpn-server,0.00%,10.83MiB / 1.946GiB / 0.54%,1.38GB / 1.44GB,19.3MB / 143kB,Up,2023-10-19 07:46:36.515342
platform-nginx-1,0.02%,111.9MiB / 1.946GiB / 5.61%,172MB / 143MB,110MB / 59.3MB,Up,2023-10-19 07:48:29.252660
odoo,0.02%,239.6MiB / 1.946GiB / 12.02%,115MB / 225MB,158MB / 520kB,Up,2023-10-19 07:48:29.252660
platform-pgadmin-1,0.04%,116.5MiB / 1.946GiB / 5.84%,63.2kB / 579kB,11.6MB / 12.4MB,Up,2023-10-19 07:48:29.252660
platform-dps-1,0.01%,38.04MiB / 1.946GiB / 1.91%,1.2MB / 1.2MB,34.7MB / 77.7MB,Up,2023-10-19 07:48:29.252660
postgres,0.01%,138.7MiB / 1.946GiB / 6.96%,88.8MB / 103MB,104MB / 1.89GB,Up,2023-10-19 07:48:29.252660
ipsec-vpn-server,0.00%,11.14MiB / 1.946GiB / 0.56%,1.38GB / 1.44GB,19.3MB / 143kB,Up,2023-10-19 07:48:29.252660
platform-nginx-1,0.02%,111.9MiB / 1.946GiB / 5.61%,172MB / 143MB,110MB / 59.3MB,Up,2023-10-19 07:49:24.718165
odoo,0.02%,239.6MiB / 1.946GiB / 12.02%,115MB / 225MB,158MB / 520kB,Up,2023-10-19 07:49:24.718165
platform-pgadmin-1,0.04%,116.5MiB / 1.946GiB / 5.84%,63.2kB / 579kB,11.6MB / 12.4MB,Up,2023-10-19 07:49:24.718165
platform-dps-1,0.22%,38.04MiB / 1.946GiB / 1.91%,1.2MB / 1.2MB,34.7MB / 77.7MB,Up,2023-10-19 07:49:24.718165
postgres,0.00%,138.7MiB / 1.946GiB / 6.96%,88.8MB / 103MB,104MB / 1.89GB,Up,2023-10-19 07:49:24.718165
ipsec-vpn-server,0.00%,11.15MiB / 1.946GiB / 0.56%,1.38GB / 1.44GB,19.3MB / 143kB,Up,2023-10-19 07:49:24.718165
platform-nginx-1,0.61%,111.1MiB / 1.946GiB / 5.58%,172MB / 143MB,110MB / 59.3MB,Up,2023-10-19 07:56:05.407777
odoo,0.02%,239.6MiB / 1.946GiB / 12.02%,115MB / 225MB,158MB / 520kB,Up,2023-10-19 07:56:05.407777
platform-pgadmin-1,0.05%,116.5MiB / 1.946GiB / 5.84%,63.2kB / 579kB,11.6MB / 12.4MB,Up,2023-10-19 07:56:05.407777
platform-dps-1,0.23%,38.04MiB / 1.946GiB / 1.91%,1.2MB / 1.2MB,34.7MB / 77.8MB,Up,2023-10-19 07:56:05.407777
postgres,0.00%,138.7MiB / 1.946GiB / 6.96%,88.8MB / 103MB,104MB / 1.89GB,Up,2023-10-19 07:56:05.407777
ipsec-vpn-server,0.00%,11.48MiB / 1.946GiB / 0.58%,1.38GB / 1.44GB,19.3MB / 143kB,Up,2023-10-19 07:56:05.407777
platform-nginx-1,0.02%,111.2MiB / 1.946GiB / 5.58%,172MB / 143MB,110MB / 59.3MB,Up,2023-10-19 07:56:36.515245
odoo,0.03%,239.6MiB / 1.946GiB / 12.02%,115MB / 225MB,158MB / 520kB,Up,2023-10-19 07:56:36.515245
platform-pgadmin-1,0.04%,116.5MiB / 1.946GiB / 5.84%,63.2kB / 579kB,11.6MB / 12.4MB,Up,2023-10-19 07:56:36.515245
platform-dps-1,0.01%,38.04MiB / 1.946GiB / 1.91%,1.2MB / 1.2MB,34.7MB / 77.8MB,Up,2023-10-19 07:56:36.515245
postgres,0.01%,138.7MiB / 1.946GiB / 6.96%,88.8MB / 103MB,104MB / 1.89GB,Up,2023-10-19 07:56:36.515245
ipsec-vpn-server,0.00%,10.85MiB / 1.946GiB / 0.54%,1.38GB / 1.44GB,19.3MB / 143kB,Up,2023-10-19 07:56:36.515245
platform-nginx-1,0.02%,111.2MiB / 1.946GiB / 5.58%,172MB / 143MB,110MB / 59.3MB,Up,2023-10-19 07:58:29.251961
odoo,0.18%,239.6MiB / 1.946GiB / 12.02%,115MB / 225MB,158MB / 520kB,Up,2023-10-19 07:58:29.251961
platform-pgadmin-1,0.03%,116.5MiB / 1.946GiB / 5.84%,63.2kB / 579kB,11.6MB / 12.4MB,Up,2023-10-19 07:58:29.251961
platform-dps-1,0.01%,38.04MiB / 1.946GiB / 1.91%,1.2MB / 1.2MB,34.7MB / 77.8MB,Up,2023-10-19 07:58:29.251961
postgres,0.14%,138.7MiB / 1.946GiB / 6.96%,88.8MB / 103MB,104MB / 1.89GB,Up,2023-10-19 07:58:29.251961
ipsec-vpn-server,0.00%,11.14MiB / 1.946GiB / 0.56%,1.38GB / 1.44GB,19.3MB / 143kB,Up,2023-10-19 07:58:29.251961
platform-nginx-1,0.02%,111.2MiB / 1.946GiB / 5.58%,172MB / 143MB,110MB / 59.3MB,Up,2023-10-19 07:59:24.717798
odoo,0.02%,239.6MiB / 1.946GiB / 12.02%,115MB / 225MB,158MB / 520kB,Up,2023-10-19 07:59:24.717798
platform-pgadmin-1,0.04%,116.5MiB / 1.946GiB / 5.84%,63.4kB / 579kB,11.6MB / 12.4MB,Up,2023-10-19 07:59:24.717798
platform-dps-1,0.22%,38.04MiB / 1.946GiB / 1.91%,1.2MB / 1.2MB,34.7MB / 77.9MB,Up,2023-10-19 07:59:24.717798
postgres,0.00%,138.7MiB / 1.946GiB / 6.96%,88.8MB / 103MB,104MB / 1.89GB,Up,2023-10-19 07:59:24.717798
ipsec-vpn-server,0.00%,11.13MiB / 1.946GiB / 0.56%,1.38GB / 1.44GB,19.3MB / 143kB,Up,2023-10-19 07:59:24.717798
platform-nginx-1,0.02%,111.4MiB / 1.946GiB / 5.59%,172MB / 143MB,110MB / 59.3MB,Up,2023-10-19 08:06:05.408585
odoo,0.02%,239.6MiB / 1.946GiB / 12.02%,115MB / 225MB,158MB / 520kB,Up,2023-10-19 08:06:05.408585
platform-pgadmin-1,0.04%,116.5MiB / 1.946GiB / 5.84%,63.4kB / 579kB,11.6MB / 12.4MB,Up,2023-10-19 08:06:05.408585
platform-dps-1,0.27%,38.04MiB / 1.946GiB / 1.91%,1.2MB / 1.2MB,34.7MB / 77.9MB,Up,2023-10-19 08:06:05.408585
postgres,0.00%,138.7MiB / 1.946GiB / 6.96%,88.8MB / 103MB,104MB / 1.89GB,Up,2023-10-19 08:06:05.408585
ipsec-vpn-server,0.00%,11.43MiB / 1.946GiB / 0.57%,1.38GB / 1.44GB,19.3MB / 143kB,Up,2023-10-19 08:06:05.408585
platform-nginx-1,0.02%,111.4MiB / 1.946GiB / 5.59%,172MB / 143MB,110MB / 59.3MB,Up,2023-10-19 08:06:36.518802
odoo,0.02%,239.6MiB / 1.946GiB / 12.02%,115MB / 225MB,158MB / 520kB,Up,2023-10-19 08:06:36.518802
platform-pgadmin-1,0.05%,116.5MiB / 1.946GiB / 5.84%,63.4kB / 579kB,11.6MB / 12.4MB,Up,2023-10-19 08:06:36.518802
platform-dps-1,0.01%,38.04MiB / 1.946GiB / 1.91%,1.2MB / 1.2MB,34.7MB / 77.9MB,Up,2023-10-19 08:06:36.518802
postgres,0.00%,138.7MiB / 1.946GiB / 6.96%,88.8MB / 103MB,104MB / 1.89GB,Up,2023-10-19 08:06:36.518802
ipsec-vpn-server,0.00%,10.79MiB / 1.946GiB / 0.54%,1.38GB / 1.44GB,19.3MB / 143kB,Up,2023-10-19 08:06:36.518802
platform-nginx-1,0.02%,111.5MiB / 1.946GiB / 5.59%,172MB / 143MB,110MB / 59.3MB,Up,2023-10-19 08:08:29.251769
odoo,0.02%,239.6MiB / 1.946GiB / 12.02%,115MB / 225MB,158MB / 520kB,Up,2023-10-19 08:08:29.251769
platform-pgadmin-1,0.04%,116.5MiB / 1.946GiB / 5.84%,63.4kB / 579kB,11.6MB / 12.4MB,Up,2023-10-19 08:08:29.251769
platform-dps-1,0.01%,38.04MiB / 1.946GiB / 1.91%,1.2MB / 1.2MB,34.7MB / 78MB,Up,2023-10-19 08:08:29.251769
postgres,0.02%,138.7MiB / 1.946GiB / 6.96%,88.9MB / 104MB,104MB / 1.89GB,Up,2023-10-19 08:08:29.251769
ipsec-vpn-server,0.00%,11.12MiB / 1.946GiB / 0.56%,1.38GB / 1.44GB,19.3MB / 143kB,Up,2023-10-19 08:08:29.251769
platform-nginx-1,0.02%,111.5MiB / 1.946GiB / 5.60%,172MB / 143MB,110MB / 59.3MB,Up,2023-10-19 08:09:24.717723
odoo,0.02%,239.6MiB / 1.946GiB / 12.02%,115MB / 225MB,158MB / 520kB,Up,2023-10-19 08:09:24.717723
platform-pgadmin-1,0.04%,116.5MiB / 1.946GiB / 5.84%,63.4kB / 579kB,11.6MB / 12.4MB,Up,2023-10-19 08:09:24.717723
platform-dps-1,0.27%,38.04MiB / 1.946GiB / 1.91%,1.2MB / 1.2MB,34.7MB / 78MB,Up,2023-10-19 08:09:24.717723
postgres,0.01%,138.7MiB / 1.946GiB / 6.96%,88.9MB / 104MB,104MB / 1.89GB,Up,2023-10-19 08:09:24.717723
ipsec-vpn-server,0.00%,11.15MiB / 1.946GiB / 0.56%,1.38GB / 1.44GB,19.3MB / 143kB,Up,2023-10-19 08:09:24.717723
platform-nginx-1,0.03%,111.7MiB / 1.946GiB / 5.60%,172MB / 143MB,110MB / 59.3MB,Up,2023-10-19 08:16:05.407969
odoo,0.02%,239.6MiB / 1.946GiB / 12.02%,115MB / 225MB,158MB / 520kB,Up,2023-10-19 08:16:05.407969
platform-pgadmin-1,0.04%,116.5MiB / 1.946GiB / 5.84%,63.4kB / 579kB,11.6MB / 12.4MB,Up,2023-10-19 08:16:05.407969
