NAME,CPU %,MEM USAGE / LIMIT / MEM %,NET I/O,BLOCK I/O,STATUS,Date/Time
odoo,0.02%,252.9MiB / 1.946GiB / 12.69%,78.4MB / 147MB,152MB / 340kB,Up,2023-10-17 15:36:36.523476
platform-pgadmin-1,0.05%,115.8MiB / 1.946GiB / 5.81%,49.2kB / 579kB,11.3MB / 12.4MB,Up,2023-10-17 15:36:36.523476
platform-dps-1,0.01%,38.05MiB / 1.946GiB / 1.91%,1.18MB / 1.2MB,30.9MB / 48.1MB,Up,2023-10-17 15:36:36.523476
postgres,0.00%,140.3MiB / 1.946GiB / 7.04%,57.7MB / 72.6MB,104MB / 1.15GB,Up,2023-10-17 15:36:36.523476
ipsec-vpn-server,0.00%,7.859MiB / 1.946GiB / 0.39%,1.38GB / 1.44GB,13.8MB / 135kB,Up,2023-10-17 15:36:36.523476
platform-nginx-1,0.02%,107.3MiB / 1.946GiB / 5.39%,113MB / 93.1MB,92.4MB / 58.2MB,Up,2023-10-17 15:46:36.526089
odoo,0.02%,252.9MiB / 1.946GiB / 12.69%,78.5MB / 147MB,152MB / 348kB,Up,2023-10-17 15:46:36.526089
platform-pgadmin-1,0.04%,115.8MiB / 1.946GiB / 5.81%,50.3kB / 579kB,11.3MB / 12.4MB,Up,2023-10-17 15:46:36.526089
platform-dps-1,0.02%,39.34MiB / 1.946GiB / 1.97%,1.19MB / 1.2MB,33.9MB / 48.2MB,Up,2023-10-17 15:46:36.526089
postgres,0.01%,140.3MiB / 1.946GiB / 7.04%,57.9MB / 72.7MB,104MB / 1.16GB,Up,2023-10-17 15:46:36.526089
ipsec-vpn-server,0.00%,9.328MiB / 1.946GiB / 0.47%,1.38GB / 1.44GB,16MB / 139kB,Up,2023-10-17 15:46:36.526089
platform-nginx-1,0.02%,106.9MiB / 1.946GiB / 5.36%,113MB / 93.1MB,92.4MB / 58.2MB,Up,2023-10-17 15:56:36.521457
odoo,0.02%,252.9MiB / 1.946GiB / 12.69%,78.7MB / 148MB,152MB / 352kB,Up,2023-10-17 15:56:36.521457
platform-pgadmin-1,0.05%,115.8MiB / 1.946GiB / 5.81%,50.3kB / 579kB,11.3MB / 12.4MB,Up,2023-10-17 15:56:36.521457
platform-dps-1,0.01%,39.4MiB / 1.946GiB / 1.98%,1.19MB / 1.2MB,33.9MB / 48.3MB,Up,2023-10-17 15:56:36.521457
postgres,0.00%,140.3MiB / 1.946GiB / 7.04%,58.1MB / 72.9MB,104MB / 1.16GB,Up,2023-10-17 15:56:36.521457
ipsec-vpn-server,0.00%,9.297MiB / 1.946GiB / 0.47%,1.38GB / 1.44GB,16MB / 139kB,Up,2023-10-17 15:56:36.521457
platform-nginx-1,0.02%,107.2MiB / 1.946GiB / 5.38%,113MB / 93.1MB,92.4MB / 58.2MB,Up,2023-10-17 16:06:36.522528
odoo,0.02%,252.9MiB / 1.946GiB / 12.69%,78.9MB / 148MB,152MB / 352kB,Up,2023-10-17 16:06:36.522528
platform-pgadmin-1,0.04%,115.8MiB / 1.946GiB / 5.81%,50.3kB / 579kB,11.3MB / 12.4MB,Up,2023-10-17 16:06:36.522528
platform-dps-1,0.01%,39.4MiB / 1.946GiB / 1.98%,1.19MB / 1.2MB,33.9MB / 48.5MB,Up,2023-10-17 16:06:36.522528
postgres,0.02%,140.3MiB / 1.946GiB / 7.04%,58.2MB / 73MB,104MB / 1.16GB,Up,2023-10-17 16:06:36.522528
ipsec-vpn-server,0.00%,9.285MiB / 1.946GiB / 0.47%,1.38GB / 1.44GB,16MB / 139kB,Up,2023-10-17 16:06:36.522528
platform-nginx-1,0.02%,107.4MiB / 1.946GiB / 5.39%,113MB / 93.1MB,92.4MB / 58.2MB,Up,2023-10-17 16:16:36.525022
odoo,0.02%,252.9MiB / 1.946GiB / 12.69%,79.1MB / 148MB,152MB / 352kB,Up,2023-10-17 16:16:36.525022
platform-pgadmin-1,0.04%,115.8MiB / 1.946GiB / 5.81%,50.3kB / 579kB,11.3MB / 12.4MB,Up,2023-10-17 16:16:36.525022
platform-dps-1,0.01%,39.4MiB / 1.946GiB / 1.98%,1.19MB / 1.2MB,33.9MB / 48.6MB,Up,2023-10-17 16:16:36.525022
postgres,0.01%,140.3MiB / 1.946GiB / 7.04%,58.4MB / 73.2MB,104MB / 1.17GB,Up,2023-10-17 16:16:36.525022
ipsec-vpn-server,0.00%,9.293MiB / 1.946GiB / 0.47%,1.38GB / 1.44GB,16MB / 139kB,Up,2023-10-17 16:16:36.525022
platform-nginx-1,0.02%,106.9MiB / 1.946GiB / 5.36%,113MB / 93.1MB,92.4MB / 58.2MB,Up,2023-10-17 16:26:36.521808
odoo,0.21%,252.9MiB / 1.946GiB / 12.69%,79.3MB / 148MB,152MB / 352kB,Up,2023-10-17 16:26:36.521808
platform-pgadmin-1,0.04%,115.8MiB / 1.946GiB / 5.81%,50.4kB / 579kB,11.3MB / 12.4MB,Up,2023-10-17 16:26:36.521808
platform-dps-1,0.01%,39.4MiB / 1.946GiB / 1.98%,1.19MB / 1.2MB,33.9MB / 48.7MB,Up,2023-10-17 16:26:36.521808
postgres,0.12%,140.3MiB / 1.946GiB / 7.04%,58.6MB / 73.3MB,104MB / 1.17GB,Up,2023-10-17 16:26:36.521808
ipsec-vpn-server,0.00%,9.316MiB / 1.946GiB / 0.47%,1.38GB / 1.44GB,16MB / 139kB,Up,2023-10-17 16:26:36.521808
platform-nginx-1,0.02%,109.1MiB / 1.946GiB / 5.48%,114MB / 93.2MB,93.7MB / 58.3MB,Up,2023-10-17 16:36:36.521686
odoo,0.02%,252.9MiB / 1.946GiB / 12.69%,79.4MB / 148MB,152MB / 352kB,Up,2023-10-17 16:36:36.521686
platform-pgadmin-1,0.04%,115.8MiB / 1.946GiB / 5.81%,50.4kB / 579kB,11.3MB / 12.4MB,Up,2023-10-17 16:36:36.521686
platform-dps-1,0.01%,39.4MiB / 1.946GiB / 1.98%,1.19MB / 1.2MB,33.9MB / 48.8MB,Up,2023-10-17 16:36:36.521686
