CPU %,Memory %,Memory mb,Memory max,Disk %,Date/Time
1.8,47.8,768073728,1089986560,37.7,2023-10-18 02:16:36.515304
1.6,47.8,767979520,1090080768,37.7,2023-10-18 02:18:29.252171
1.6,47.9,768397312,1089662976,37.7,2023-10-18 02:19:24.718334
1.6,47.9,769077248,1088983040,37.7,2023-10-18 02:26:05.407519
1.6,47.9,770146304,1087913984,37.7,2023-10-18 02:26:36.515274
1.6,47.9,768483328,1089576960,37.7,2023-10-18 02:28:29.252301
1.6,47.9,768413696,1089646592,37.7,2023-10-18 02:29:24.717920
1.6,47.9,768651264,1089409024,37.7,2023-10-18 02:36:05.408295
1.6,47.8,768200704,1089859584,37.7,2023-10-18 02:36:36.515727
1.7,47.9,768413696,1089646592,37.7,2023-10-18 02:38:29.252344
1.7,47.9,768569344,1089486848,37.7,2023-10-18 02:39:24.717915
1.7,47.9,769142784,1088917504,37.7,2023-10-18 02:46:05.407626
1.7,48.0,770347008,1087713280,37.7,2023-10-18 02:46:36.515162
1.7,47.9,768847872,1089212416,37.7,2023-10-18 02:48:29.251944
1.7,48.0,770646016,1087414272,37.7,2023-10-18 02:49:24.717911
1.7,47.9,768507904,1089552384,37.7,2023-10-18 02:56:05.408361
1.7,47.8,767791104,1090269184,37.7,2023-10-18 02:56:36.515629
1.6,47.8,768167936,1089892352,37.7,2023-10-18 02:58:29.252220
1.7,47.8,767602688,1090457600,37.7,2023-10-18 02:59:24.718009
1.7,48.1,773320704,1084739584,37.7,2023-10-18 03:06:05.407527
1.7,47.8,768077824,1089982464,37.7,2023-10-18 03:06:36.515057
1.8,48.0,771244032,1086812160,37.7,2023-10-18 03:08:29.252324
1.8,47.9,770011136,1088049152,37.7,2023-10-18 03:09:24.717991
1.8,48.0,770387968,1087672320,37.7,2023-10-18 03:16:05.408686
1.8,47.8,767983616,1090076672,37.7,2023-10-18 03:16:36.515751
1.9,47.9,768806912,1089253376,37.7,2023-10-18 03:18:29.251808
1.9,47.9,770285568,1087774720,37.7,2023-10-18 03:19:24.717888
1.9,47.9,768655360,1089404928,37.7,2023-10-18 03:26:05.407590
1.9,47.8,767770624,1090289664,37.7,2023-10-18 03:26:36.515416
